priority,place_id,place_name,grid_id,lon,lat,avg_flow,card_sales_amount,hourly_concentration,review_note,recommended_action,verified_by_human,api_query,api_type,manual_check,place_code,category
P1,PLACE_021,경복궁,5*0*9*3*,197920.393733767,552839.647905448,593.0315,161778608.40046534,1.0,관광/공원 POI와 좌표 중심이 맞는지 확인; 유동인구가 매우 커서 대표 hotspot 후보,place_name 확인 후 place_code 입력,,경복궁,AREA_NM,CHECK_REQUIRED,POI008,고궁·문화유산
P1,PLACE_041,보신각,5*1*6*9*,201685.580131426,553134.803379531,138.8315,37873143.11659533,1.0,유동인구가 매우 커서 대표 hotspot 후보,place_name 확인 후 place_code 입력,,보신각,AREA_NM,CHECK_REQUIRED,POI010,고궁·문화유산
P1,PLACE_046,이태원 관광특구,5*1*7*8*,196264.649786955,555746.0987040824,61.60345,16805381.18745403,1.735045683318061,관광특구 경계와 실제 grid 중심 일치 여부 확인; 시간대 집중도가 높아 이벤트성/거점성 가능,place_name 확인 후 place_code 입력,,이태원 관광특구,AREA_NM,CHECK_REQUIRED,POI004,관광특구
P1,PLACE_055,성수카페거리,5*2*0*1*,196437.5117017575,557541.990485384,9.048,2468288.5290366705,1.9993479221927497,시간대 집중도가 높아 이벤트성/거점성 가능,place_name 확인 후 place_code 입력,,성수카페거리,AREA_NM,CHECK_REQUIRED,POI068,발달상권
P1,PLACE_063,DDP(동대문디자인플라자),5*2*2*7*,197144.893613395,556640.454393458,6.5602,1789618.3032920386,1.0,주변 대표 장소와 비교해 수동 검토 권장,place_name 확인 후 place_code 입력,,DDP(동대문디자인플라자),AREA_NM,CHECK_REQUIRED,POI083,발달상권
P1,PLACE_030,가산디지털단지역,5*1*2*8*,197788.495001807,552214.133505729,6.5102,1775978.33573547,1.0,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,가산디지털단지역,AREA_NM,CHECK_REQUIRED,POI013,인구밀집지역
P1,PLACE_026,강남역,5*1*1*2*,197875.181070741,553390.634961342,6.4391,1756582.3018700292,1.0,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,강남역,AREA_NM,CHECK_REQUIRED,POI014,인구밀집지역
P1,PLACE_074,미아사거리역,5*2*5*1*,200387.781218579,556186.230583085,5.0977,1390649.2522624044,1.0,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,미아사거리역,AREA_NM,CHECK_REQUIRED,POI026,인구밀집지역
P1,PLACE_034,사당역,5*1*3*9*,196210.937527513,552598.698315522,4.9559,1351966.3042719758,1.0,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,사당역,AREA_NM,CHECK_REQUIRED,POI029,인구밀집지역
P1,PLACE_018,서울대입구역,5*0*8*7*,198185.5350845515,554473.7081495282,4.911275,1339792.633227738,2.311090297326051,지하철역 중심 상권 여부 확인; 시간대 집중도가 높아 이벤트성/거점성 가능,place_name 확인 후 place_code 입력,,서울대입구역,AREA_NM,CHECK_REQUIRED,POI031,인구밀집지역
P1,PLACE_017,선릉역,5*0*8*6*,195693.423475006,554436.881765821,4.8366,1319421.3416820029,1.0,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,선릉역,AREA_NM,CHECK_REQUIRED,POI034,인구밀집지역
P1,PLACE_001,성신여대입구역,5*0*0*0*,197343.0331614385,556344.731336799,4.7998,1309382.325560368,1.7281136714029752,지하철역 중심 상권 여부 확인; 시간대 집중도가 높아 이벤트성/거점성 가능,place_name 확인 후 place_code 입력,,성신여대입구역,AREA_NM,CHECK_REQUIRED,POI035,인구밀집지역
P1,PLACE_029,신논현역·논현역,5*1*2*6*,196285.385912537,554501.231269975,4.3152,1177183.7600021043,1.0,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,신논현역·논현역,AREA_NM,CHECK_REQUIRED,POI037,인구밀집지역
P1,PLACE_024,신촌·이대역,5*1*0*8*,197131.090412132,556260.689061879,4.1596,1134736.1809660627,1.0,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,신촌·이대역,AREA_NM,CHECK_REQUIRED,POI040,인구밀집지역
P1,PLACE_038,오목교역·목동운동장,5*1*5*8*,197868.0060783915,553210.3528091339,3.9211,1069673.53572123,1.2171074443395986,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,오목교역·목동운동장,AREA_NM,CHECK_REQUIRED,POI044,인구밀집지역
P1,PLACE_015,이태원역,5*0*5*5*,197348.089350674,553198.9042064125,3.60415,983209.7813801412,1.3484455419447026,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,이태원역,AREA_NM,CHECK_REQUIRED,POI047,인구밀집지역
P1,PLACE_010,장한평역,5*0*3*8*,198038.478798732,554293.802369581,3.3832,922934.764747664,1.0,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,장한평역,AREA_NM,CHECK_REQUIRED,POI049,인구밀집지역
P1,PLACE_032,합정역,5*1*3*4*,197781.565675622,556140.488146029,3.2236,879395.9883070966,1.0,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,합정역,AREA_NM,CHECK_REQUIRED,POI053,인구밀집지역
P1,PLACE_016,혜화역,5*0*8*5*,197380.542325477,557313.813963649,3.22115,878727.6298968248,1.2193781723918478,지하철역 중심 상권 여부 확인,place_name 확인 후 place_code 입력,,혜화역,AREA_NM,CHECK_REQUIRED,POI054,인구밀집지역
